Date,Close,NEWS_SENTIMENT_DAILY_AVG,NEWS_POS_COUNT,NEWS_NEG_COUNT,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_POS_COUNT,TWITTER_NEG_COUNT,NEWS_HEAT_READ_DAVG,NEWS_PUBLICATION_COUNT,TWITTER_PUBLICATION_COUNT
22/01/2016,596.38,0.399,56,11,0.0376,495,63,0,518,3866
21/01/2016,575.02,0.2267,20,5,-0.0094,90,136,0,359,2191
20/01/2016,571.77,0.2248,48,2,0.0202,229,140,0,571,2368
19/01/2016,574.48,0.2155,29,13,0.0093,54,53,0,393,958
18/01/2016,,-0.2995,8,19,-0.0074,27,45,0,286,1170
15/01/2016,570.18,0.2964,51,20,0.0228,522,485,1,533,5014
14/01/2016,593,0.1449,36,18,-0.0218,151,426,1,523,4084
13/01/2016,581.81,0.2633,47,10,-0.0242,103,272,2,449,2758
12/01/2016,617.89,0.236,52,17,0.0021,131,57,0,641,3262
11/01/2016,617.74,0.291,25,2,0.012,109,20,0,302,1307
08/01/2016,607.05,0.2008,29,6,-0.0043,77,119,0,416,2540
07/01/2016,607.94,0.2152,29,14,-0.0205,115,213,1,485,2490
06/01/2016,632.65,0.3735,40,4,0.0054,172,125,1,453,3087
05/01/2016,633.79,0.3504,52,24,-0.0199,204,346,1,596,3589
04/01/2016,636.99,-0.2521,15,14,-0.0242,84,103,2,268,1225
01/01/2016,,-0.4062,17,28,0.0175,229,47,0,252,2668
31/12/2015,675.89,0.2826,24,6,0.0694,421,103,0,332,2885
30/12/2015,689.07,0.5273,55,4,0.0787,619,101,0,518,3677
29/12/2015,693.97,0.234,61,7,0.0954,943,86,1,641,5105
28/12/2015,675.2,0.5484,30,2,0.0194,268,9,1,441,2306
25/12/2015,,0.0129,2,1,-0.0013,26,49,0,161,1418
24/12/2015,662.79,0.2512,33,4,-0.0019,113,123,0,393,3434
23/12/2015,663.7,0.1063,37,8,-0.004,107,147,0,612,2821
22/12/2015,663.15,0.0674,35,12,-0.0158,74,239,0,842,2558
21/12/2015,664.51,0.0514,13,4,-0.0093,38,121,0,402,1545
18/12/2015,664.14,0.0945,24,2,0.0042,67,29,0,483,1811
17/12/2015,670.65,0.199,30,8,0.0038,91,46,0,434,2264
16/12/2015,675.77,0.316,38,16,-0.0103,78,153,0,518,2984
15/12/2015,658.64,0.3021,49,23,-0.0117,160,212,0,555,3207
14/12/2015,657.91,0.1121,15,4,-0.0014,17,44,0,353,1590
11/12/2015,640.15,0.159,34,2,0.0014,85,34,0,445,2578
10/12/2015,662.32,0.1845,26,7,0.0037,77,45,0,424,2199
09/12/2015,664.79,0.2124,39,15,0.0012,127,30,0,610,4253
08/12/2015,677.33,0.0915,35,23,0.0047,156,79,0,622,2978
07/12/2015,669.83,0.3497,15,7,0.0005,23,14,1,265,1270
04/12/2015,672.64,0.1161,29,7,0.0206,489,54,0,554,4202
03/12/2015,666.25,0.1259,37,12,0.0171,264,51,0,641,3336
02/12/2015,676.01,0.447,79,3,0.016,345,49,0,761,4089
01/12/2015,679.06,0.2201,96,12,0.0029,372,119,1,1239,8595
30/11/2015,664.8,0.1054,44,6,0.0003,97,100,1,736,5823
27/11/2015,673.26,0.1672,22,12,-0.0004,41,44,0,400,3366
26/11/2015,,0.094,26,4,0.0096,181,42,0,544,3098
25/11/2015,675.34,0.0364,66,33,0.0065,217,119,0,1288,5115
24/11/2015,671.15,0.0739,31,18,0.0087,148,72,1,596,2483
23/11/2015,678.99,0.2506,18,9,0.0004,18,13,1,294,1552
20/11/2015,668.45,0.1611,36,3,0.002,76,53,0,542,3263
19/11/2015,661.27,0.1495,40,3,0.0046,165,42,0,607,3760
18/11/2015,663.54,0.1186,39,5,0.001,93,60,0,599,4398
17/11/2015,643.3,0.2036,36,7,0.0047,149,114,0,616,2895
16/11/2015,647.81,0.0113,4,2,0.0042,62,14,1,246,1336
13/11/2015,642.35,0.0889,28,2,0.0055,141,93,0,483,2479
12/11/2015,665.6,0.4153,51,3,-0.0327,346,398,0,504,3752
11/11/2015,673.25,0.4061,56,5,0.0119,219,94,1,571,2704
10/11/2015,659.68,0.1383,19,6,-0.0014,68,75,0,438,2200
09/11/2015,655.49,0.3626,14,4,0.0006,23,10,0,221,1353
06/11/2015,659.37,0.118,28,5,0.0135,217,87,0,528,3163
05/11/2015,655.65,0.2117,50,2,0.0235,108,20,0,573,3971
